"PIXEL_ID","REEF_ID","REEF_NAME","LONG","LAT","COTS_1985","COTS_1986","COTS_1987","COTS_1988","COTS_1989","COTS_1990","COTS_1991","COTS_1992","COTS_1993","COTS_1994","COTS_1995","COTS_1996","COTS_1997","COTS_1998","COTS_1999","COTS_2000","COTS_2001","COTS_2002","COTS_2003","COTS_2004","COTS_2005","COTS_2006","COTS_2007","COTS_2008","COTS_2009","COTS_2010","COTS_2011","COTS_2012","COTS_2013","COTS_2014","COTS_2015","COTS_2016","COTS_2017"
14420,"21-505","Isobel Bennett Reef (21-505)",152.32,-21.71,0.0233,0.0481,0.0735,NA,0.0885,0.4334,0.3438,0.9461,NA,0.1466,0.091,0.5669,0.9833,0.2852,1.1284,15.0747,5.9593,3.3265,0.4958,0.0142,NA,0.0299,0,0.0023,0,0.0033,0.0018,0.0064,0.0033,0,0.0151,0.0028,0.1598
14421,"21-505","Isobel Bennett Reef (21-505)",152.33,-21.71,0.021,0.0456,0.0699,NA,0.0826,0.4467,0.34,0.9723,NA,0.1485,0.0904,0.5763,0.9999,0.2902,1.1491,15.6529,6.3287,3.4863,0.5185,0.0139,NA,0.0308,0,0.0023,0,0.0033,0.0017,0.0065,0.0032,0,0.0152,0.0027,0.1631
14422,"21-505","Isobel Bennett Reef (21-505)",152.34,-21.71,0.0198,0.0455,0.07,NA,0.0812,0.4598,0.3361,0.9967,NA,0.1499,0.0895,0.5831,1.0121,0.2939,1.1649,16.2165,6.7174,3.6494,0.5416,0.0144,NA,0.0316,0,0.0023,0,0.0034,0.0017,0.0066,0.0032,0,0.0153,0.0027,0.1662
14423,"21-505","Isobel Bennett Reef (21-505)",152.35,-21.71,0.0195,0.0482,0.0745,NA,0.0847,0.4725,0.3321,1.0193,NA,0.1508,0.0884,0.5868,1.0192,0.2962,1.1754,16.7625,7.1268,3.8162,0.5651,0.0159,NA,0.0324,0,0.0023,0,0.0035,0.0016,0.0067,0.0032,0,0.0155,0.0027,0.1689
14424,"21-505","Isobel Bennett Reef (21-505)",152.36,-21.71,0.0198,0.053,0.0828,NA,0.0918,0.4848,0.328,1.0397,NA,0.1511,0.0871,0.5872,1.0209,0.2969,1.1798,17.2886,7.5589,3.9867,0.589,0.0184,NA,0.0332,0,0.0023,0,0.0036,0.0016,0.0068,0.0031,0,0.0156,0.0026,0.1713
14425,"21-507","U/N Reef (21-507)",152.44,-21.71,0.0128,0.0746,0.1251,NA,0.152,0.5646,0.2913,1.1152,NA,0.1244,0.0648,0.4443,0.7875,0.2319,0.9446,20.9413,12.1957,5.5698,0.8071,0.0446,NA,0.0349,0,0.002,0,0.0035,0.0012,0.0065,0.0028,0,0.0164,0.0024,0.1654
14426,"21-507","U/N Reef (21-507)",152.45,-21.71,0.0174,0.0789,0.1267,NA,0.1701,0.5699,0.2877,1.1142,NA,0.1166,0.0602,0.4069,0.7242,0.2132,0.8773,21.3139,12.9727,5.8075,0.8375,0.0511,NA,0.0341,0,0.002,0,0.0033,0.0012,0.0063,0.0028,0,0.0165,0.0024,0.1605
14427,"21-562","Turner Reef (21-562)",152.55,-21.71,0.081,0.1382,0.2148,NA,0.267,0.5729,0.2061,1.0291,NA,0.0153,0.0032,0.017,0.0322,0.0095,0.1182,24.3499,20.4975,7.9345,1.1006,0.0569,NA,0.003,0,2e-04,0,2e-04,9e-04,5e-04,0.0027,0,0.0165,0.0025,0.0445
14428,"21-562","Turner Reef (21-562)",152.56,-21.71,0.0875,0.1452,0.2255,NA,0.2767,0.568,0.1993,1.0169,NA,0.0141,0.0025,0.013,0.0249,0.0073,0.11,24.3795,20.5739,7.955,1.1031,0.0571,NA,0.0023,0,1e-04,0,2e-04,9e-04,4e-04,0.0028,0,0.0164,0.0026,0.0428
14429,"21-562","Turner Reef (21-562)",152.57,-21.71,0.0939,0.152,0.2359,NA,0.2854,0.5625,0.1927,1.0046,NA,0.0164,0.0038,0.0202,0.0389,0.0114,0.1262,24.3234,20.4284,7.9182,1.0987,0.0569,NA,0.0035,0,2e-04,0,3e-04,9e-04,6e-04,0.0028,0,0.0163,0.0026,0.0467
